file_name,predict,predictor_type,layers,nodes,activation,optimizer,loss_function,epochs,batch_size,weighted,loss,accuracy
1574412834.h5,rating,neural_net,3.0,4.0,sigmoid/sigmoid,adam,mse,50.0,32.0,True,0.15840292474449022,0.42206725478172297
1574412859.h5,rating,neural_net,3.0,8.0,sigmoid/sigmoid,adam,mse,50.0,32.0,True,0.15487902349287413,0.3511074781417847
1574412886.h5,rating,neural_net,3.0,16.0,sigmoid/sigmoid,adam,mse,50.0,32.0,True,0.161249439463545,0.2813781797885895
1574412915.h5,rating,neural_net,3.0,32.0,sigmoid/sigmoid,adam,mse,50.0,32.0,True,0.16932412235095326,0.2592288851737976
1574414438.h5,rating,neural_net,1.0,2.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.105620671549569,0.6579163074493408
1574414460.h5,rating,neural_net,1.0,4.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10499852387825907,0.6583265066146851
1574414483.h5,rating,neural_net,1.0,8.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10566698866143788,0.6529942750930786
1574414506.h5,rating,neural_net,1.0,16.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10583514134667757,0.6501230597496033
1574414529.h5,rating,neural_net,1.0,32.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10959313970007203,0.6361771821975708
1574414552.h5,rating,neural_net,2.0,2.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10578898188884968,0.6579163074493408
1574414580.h5,rating,neural_net,2.0,4.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10450203137944428,0.6554552912712097
1574414605.h5,rating,neural_net,2.0,8.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.1049272674727968,0.6529942750930786
1574414631.h5,rating,neural_net,2.0,16.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10755862747918787,0.6382280588150024
1574414657.h5,rating,neural_net,2.0,32.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.11239960224927696,0.6259228587150574
1574414686.h5,rating,neural_net,3.0,2.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.1051443812358663,0.6579163074493408
1574414717.h5,rating,neural_net,3.0,4.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10423898834420384,0.6579163074493408
1574414747.h5,rating,neural_net,3.0,8.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10451669487995237,0.6579163074493408
1574414776.h5,rating,neural_net,3.0,16.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.10665624038644067,0.6353568434715271
1574414806.h5,rating,neural_net,3.0,32.0,sigmoid/sigmoid,adam,mse,50.0,32.0,False,0.11425425920259571,0.6214109659194946
